x,y,z,timestamp
-0.1,0.0,0.0,2025-12-11T15:35:58.536+00:00
-0.2,0.0,0.1,2025-12-11T15:36:00.35+00:00
-0.1,0.0,0.0,2025-12-11T15:36:00.927+00:00
0.0,0.1,0.2,2025-12-11T15:36:01.017+00:00
-0.2,-0.1,0.1,2025-12-11T15:36:01.652+00:00
0.0,0.1,-0.1,2025-12-11T15:36:01.848+00:00
-0.2,0.0,0.4,2025-12-11T15:36:01.94+00:00
0.1,-0.1,-0.2,2025-12-11T15:36:02.03+00:00
0.2,-0.1,-0.2,2025-12-11T15:36:02.122+00:00
0.2,-0.1,0.1,2025-12-11T15:36:04.259+00:00
0.1,0.0,0.0,2025-12-11T15:35:54.836+00:00
-0.1,0.0,0.1,2025-12-11T15:36:01.123+00:00
-0.2,0.0,0.1,2025-12-11T15:36:02.849+00:00
0.0,0.0,-0.1,2025-12-11T15:36:03.801+00:00
0.2,0.0,-0.2,2025-12-11T15:36:04.075+00:00
-0.30000000000000004,0.1,-0.1,2025-12-11T15:36:04.425+00:00
0.1,0.0,0.30000000000000004,2025-12-11T15:36:04.537+00:00
-0.1,0.1,0.1,2025-12-11T15:36:04.636+00:00
-0.2,0.0,0.1,2025-12-11T15:36:04.92+00:00
-0.30000000000000004,0.1,-0.4,2025-12-11T15:36:02.737+00:00
0.2,0.0,-0.30000000000000004,2025-12-11T15:36:03.022+00:00
0.0,0.0,-0.2,2025-12-11T15:36:03.41+00:00
-0.1,-0.1,0.2,2025-12-11T15:36:03.719+00:00
-0.1,0.1,-0.1,2025-12-11T15:36:03.899+00:00
0.30000000000000004,0.0,-0.2,2025-12-11T15:36:04.748+00:00
0.0,-0.1,-0.30000000000000004,2025-12-11T15:36:05.005+00:00
0.2,-0.1,0.1,2025-12-11T15:36:05.101+00:00
-0.2,0.1,0.1,2025-12-11T15:36:05.221+00:00
-0.1,0.1,0.5,2025-12-11T15:36:03.988+00:00
0.2,-0.1,-0.2,2025-12-11T15:36:04.338+00:00
-0.30000000000000004,0.1,0.4,2025-12-11T15:36:04.831+00:00
-0.2,0.1,-0.1,2025-12-11T15:36:05.313+00:00
0.2,-0.1,0.1,2025-12-11T15:36:05.397+00:00
0.0,0.0,0.0,2025-12-11T15:35:55.69+00:00
0.1,0.0,0.0,2025-12-11T15:35:57.144+00:00
0.0,0.0,0.0,2025-12-11T15:35:58.76+00:00
0.0,0.0,0.2,2025-12-11T15:35:58.959+00:00
0.0,0.0,0.0,2025-12-11T15:36:00.637+00:00
0.2,0.0,-0.2,2025-12-11T15:36:01.565+00:00
0.0,0.0,0.2,2025-12-11T15:36:02.32+00:00
0.0,0.0,0.1,2025-12-11T15:35:56.694+00:00
0.0,0.0,0.1,2025-12-11T15:35:56.828+00:00
-0.1,0.0,0.0,2025-12-11T15:35:57.529+00:00
0.1,0.0,-0.2,2025-12-11T15:35:57.82+00:00
-0.1,0.0,0.0,2025-12-11T15:35:57.905+00:00
0.1,0.0,0.1,2025-12-11T15:35:58.179+00:00
0.0,-0.1,0.2,2025-12-11T15:35:59.506+00:00
-0.1,0.0,0.0,2025-12-11T15:35:54.942+00:00
0.0,0.0,0.0,2025-12-11T15:35:56.045+00:00
0.1,0.0,0.0,2025-12-11T15:35:56.136+00:00
0.0,0.0,0.0,2025-12-11T15:35:57.637+00:00
-0.2,0.1,-0.1,2025-12-11T15:35:59.589+00:00
0.2,-0.1,0.4,2025-12-11T15:36:02.615+00:00
0.1,0.0,-0.1,2025-12-11T15:35:58.433+00:00
0.2,0.0,0.0,2025-12-11T15:35:59.676+00:00
-0.1,0.0,-0.1,2025-12-11T15:35:59.771+00:00
0.1,0.0,-0.1,2025-12-11T15:35:59.973+00:00
0.1,-0.1,-0.1,2025-12-11T15:36:00.275+00:00
0.2,0.0,-0.2,2025-12-11T15:36:00.447+00:00
0.1,-0.1,0.0,2025-12-11T15:36:02.929+00:00
-0.1,0.0,0.2,2025-12-11T15:35:55.336+00:00
0.1,0.0,0.0,2025-12-11T15:35:55.428+00:00
0.0,0.0,-0.2,2025-12-11T15:35:55.514+00:00
-0.1,0.1,0.2,2025-12-11T15:35:55.597+00:00
0.0,0.0,0.1,2025-12-11T15:35:57.995+00:00
