time_start,time_end,eID
1354.786,1355.886,412
1356.453,1356.753,412
1356.92,1357.42,412
1357.753,1359.42,412
1360.653,1362.586,412
1363.453,1366.12,412
1366.486,1366.72,412
1368.753,1368.753,412
1369.353,1369.786,412
1369.953,1370.953,412
1372.086,1372.353,412
1372.553,1373.053,412
1376.92,1377.12,412
1381.753,1382.786,412
1383.453,1385.286,412
1386.153,1388.019,412
1388.219,1389.653,412
1389.886,1394.353,412
1395.286,1395.319,412
1395.386,1398.186,412
1399.153,1400.386,412
1400.853,1401.986,412
1402.086,1405.419,412
1405.719,1407.119,412
1408.319,1409.019,412
1409.153,1411.853,412
1413.053,1413.753,412
1413.886,1414.019,412
1415.919,1416.952,412
1419.186,1420.152,412
1422.086,1423.052,412
1426.086,1426.452,412
1426.786,1427.652,412
1427.719,1427.786,412
1428.152,1428.819,412
1430.652,1432.519,412
1433.752,1435.019,412
1435.719,1435.852,412
1436.952,1436.986,412
1437.052,1437.419,412
1437.819,1438.819,412
1439.219,1439.486,412
1440.086,1440.286,412
1440.752,1441.319,412
1443.752,1444.886,412
1445.119,1445.619,412
1446.319,1448.586,412
1450.452,1450.752,412
1455.652,1456.085,412
1457.185,1457.252,412
1458.219,1458.319,412
1464.419,1466.152,412
1466.485,1467.952,412
1468.419,1472.252,412
1472.519,1477.385,412
1478.552,1481.152,412
1482.252,1483.618,412
1484.052,1489.418,412
1490.685,1494.118,412
1498.318,1499.252,412
1501.552,1502.552,412
1506.518,1507.618,412
1508.318,1508.985,412
1511.718,1513.785,412
1514.685,1515.352,412
1516.485,1516.652,412
1517.351,1518.418,412
1520.418,1521.451,412
1523.451,1523.485,412
1523.651,1525.585,412
1526.051,1528.351,412
1531.851,1532.685,412
1532.751,1533.385,412
1534.551,1534.885,412
1535.185,1535.551,412
1536.085,1536.285,412
1537.651,1538.051,412
1541.218,1541.251,412
1541.518,1542.451,412
1546.951,1547.485,412
1547.585,1547.585,412
1547.751,1549.585,412
1550.618,1553.851,412
1553.918,1553.918,412
1554.584,1559.618,412
1561.351,1564.018,412
1564.751,1570.918,412
1571.251,1572.384,412
1573.484,1573.751,412
1573.818,1573.884,412
1574.018,1577.484,412
1577.918,1579.018,412
1581.118,1582.118,412
1584.351,1585.384,412
1590.117,1591.717,412
1592.284,1592.984,412
1595.551,1596.351,412
1596.551,1597.684,412
1598.484,1599.784,412
1600.017,1600.317,412
1600.484,1601.017,412
1601.684,1602.884,412
1603.051,1604.284,412
1605.117,1605.517,412
1607.351,1607.351,412
1607.551,1609.551,412
1610.484,1613.017,412
1613.184,1613.617,412
1614.284,1615.251,412
1615.984,1616.551,412
1616.684,1617.584,412
1628.817,1630.484,412
1630.684,1632.517,412
1633.584,1635.05,412
1635.184,1636.984,412
1637.484,1638.95,412
1639.284,1642.684,412
1644.45,1645.584,412
1646.05,1647.284,412
1648.584,1649.684,412
1650.117,1653.583,412
1653.817,1654.917,412
1655.583,1656.617,412
1659.683,1662.45,412
1663.05,1664.15,412
