time_start,time_end,eID
1355.12,1355.62,412
1357.62,1362.62,412
1368.62,1375.12,412
1377.62,1380.12,412
1385.12,1387.12,412
1389.12,1390.12,412
1394.62,1398.62,412
1406.12,1407.62,412
1413.62,1414.12,412
1422.62,1423.62,412
1431.62,1432.12,412
1437.12,1438.12,412
1440.12,1442.12,412
1444.62,1445.12,412
1451.12,1454.12,412
1456.62,1462.12,412
1468.12,1469.62,412
1472.12,1473.12,412
1477.12,1479.12,412
1481.12,1482.62,412
1496.62,1498.12,412
1502.12,1503.12,412
1505.62,1506.12,412
1512.62,1521.62,412
1524.12,1528.62,412
1530.62,1534.12,412
1539.62,1544.12,412
1549.62,1555.12,412
1559.62,1565.12,412
1570.62,1571.62,412
1576.12,1576.62,412
1578.62,1579.62,412
1581.62,1582.62,412
1585.12,1586.12,412
1589.62,1590.62,412
1596.62,1597.62,412
1603.12,1605.62,412
1614.62,1622.12,412
1624.12,1625.62,412
1632.12,1634.62,412
1636.62,1638.12,412
1642.62,1649.12,412
1654.12,1657.12,412
1662.62,1664.12,412
