time_start,time_end,eID
1375.02,1375.286,412
1376.02,1376.52,412
1378.153,1378.82,412
1385.519,1385.719,412
1388.019,1388.786,412
1389.686,1390.653,412
1390.719,1390.719,412
1392.886,1394.419,412
1395.586,1397.386,412
1398.319,1399.686,412
1400.086,1401.753,412
1404.319,1404.319,412
1404.386,1404.786,412
1404.853,1404.919,412
1406.819,1408.319,412
1409.753,1409.919,412
1412.786,1413.519,412
1414.453,1414.753,412
1420.119,1421.452,412
1423.086,1423.819,412
1425.852,1426.252,412
1428.919,1429.552,412
1430.386,1431.452,412
1438.219,1441.119,412
1443.086,1444.219,412
1446.586,1447.786,412
1448.086,1450.619,412
1450.752,1450.919,412
1451.019,1451.419,412
1451.652,1452.185,412
1454.519,1457.419,412
1459.052,1460.119,412
1461.752,1462.819,412
1472.419,1472.552,412
1473.119,1474.652,412
1478.252,1480.919,412
1482.919,1483.818,412
1484.952,1485.752,412
1485.852,1487.018,412
1487.085,1487.118,412
1490.818,1491.152,412
1492.552,1493.618,412
1494.052,1494.152,412
1494.218,1494.218,412
1499.118,1499.518,412
1499.785,1501.418,412
1501.785,1502.385,412
1502.518,1502.985,412
1503.285,1503.285,412
1506.585,1507.852,412
1512.652,1513.018,412
1517.751,1518.251,412
1519.385,1519.951,412
1520.018,1520.951,412
1521.418,1522.485,412
1524.318,1524.451,412
1524.518,1524.551,412
1524.851,1526.251,412
1526.751,1527.885,412
1529.718,1532.618,412
1534.851,1536.451,412
1537.118,1537.485,412
1538.418,1542.218,412
1542.785,1542.851,412
1542.985,1543.051,412
1544.018,1545.418,412
1557.618,1559.184,412
1559.784,1561.018,412
1563.618,1563.684,412
1564.351,1564.451,412
1564.951,1566.151,412
1577.384,1578.218,412
1579.084,1580.318,412
1586.251,1587.551,412
1595.117,1595.917,412
1596.851,1597.984,412
1599.484,1600.984,412
1601.417,1602.451,412
1602.751,1603.117,412
1611.217,1612.251,412
1612.851,1614.251,412
1615.051,1615.517,412
1615.584,1615.784,412
1617.55,1619.984,412
1622.717,1623.984,412
1628.884,1629.284,412
1633.45,1634.15,412
1640.15,1640.184,412
1640.317,1640.384,412
1642.384,1645.184,412
1646.717,1647.65,412
1647.817,1651.017,412
1655.117,1655.617,412
1659.65,1660.317,412
1660.383,1661.583,412
1661.683,1661.717,412
1661.783,1661.85,412
1664.883,1666.483,412
