time_start,time_end,eID
11.667,28.4,412
33.333,36.7,412
42.933,62.866,412
67.266,103.366,412
107.132,107.332,412
108.266,114.199,412
124.665,130.865,412
149.965,154.698,412
154.965,156.198,412
175.165,199.465,412
221.231,254.064,412
261.831,271.064,412
277.631,298.13,412
298.597,298.63,412
298.897,299.464,412
304.93,322.997,412
328.863,333.697,412
336.297,344.297,412
358.096,364.763,412
366.996,371.363,412
376.73,377.53,412
381.663,384.863,412
389.463,405.529,412
415.329,419.729,412
427.062,467.762,412
479.662,493.628,412
494.328,495.895,412
496.028,496.262,412
513.162,513.695,412
518.195,547.528,412
550.394,573.394,412
576.961,585.461,412
585.927,586.127,412
587.494,607.961,412
610.927,616.361,412
620.76,628.927,412
630.56,637.96,412
646.794,653.76,412
654.493,654.627,412
659.793,684.66,412
691.526,693.926,412
705.46,713.393,412
720.893,723.726,412
727.726,736.359,412
750.659,750.759,412
751.292,751.859,412
752.059,761.759,412
778.259,794.725,412
800.759,815.459,412
819.758,858.358,412
867.125,881.425,412
885.458,893.458,412
894.524,896.724,412
896.858,897.124,412
902.058,926.024,412
953.89,954.824,412
966.257,970.69,412
980.757,984.29,412
991.59,1021.956,412
1028.123,1048.023,412
1054.456,1069.656,412
1072.623,1087.989,412
1103.356,1133.789,412
1146.655,1161.688,412
1165.955,1167.055,412
1174.988,1180.688,412
1194.455,1199.588,412
1201.855,1212.721,412
1213.988,1215.221,412
1216.221,1241.488,412
1246.688,1261.754,412
1282.921,1322.22,412
1325.153,1337.82,412
1342.787,1345.553,412
1346.253,1346.453,412
1346.953,1347.353,412
1349.72,1351.32,412
1366.22,1370.253,412
1389.619,1405.519,412
1408.386,1423.119,412
1433.419,1436.119,412
1448.086,1460.485,412
1461.385,1477.485,412
1478.452,1480.552,412
1494.118,1505.585,412
1508.185,1529.185,412
1534.551,1537.351,412
1538.685,1544.618,412
1554.051,1558.984,412
1560.218,1573.018,412
1598.251,1607.351,412
1607.751,1621.084,412
1627.384,1628.217,412
1636.617,1640.717,412
1645.05,1652.65,412
1658.717,1660.417,412
