fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,1145.0,9.0,17.947,412.0,408.0,51.533,1666.617,1615.084,987.3060000000032,1145,17.232000000000546,906.5599999999998,970.0740000000023,0.018653549716819956,0.017453555432662717,0.018033612091060237,0.0020726166352022174,0.010082499561172777,0.003438413253694422,events_evaluation_plot.png,-2.018846153846164,0.03300000000001546,38.43299999999999,20.329692307692294,1.16700000000003,34.266000000000005,
0 - 401,,,,,,,,,,34,0.0,0.0,9.568000000000183,0.0,0.0,0.0,,,,,,,,,,,401.0
0 - 403,,,,,,,,,,38,0.0,0.0,15.297999999999277,0.0,0.0,0.0,,,,,,,,,,,403.0
0 - 404,,,,,,,,,,133,0.0,0.0,169.97100000000003,0.0,0.0,0.0,,,,,,,,,,,404.0
0 - 405,,,,,,,,,,339,0.0,0.0,207.43099999999933,0.0,0.0,0.0,,,,,,,,,,,405.0
0 - 406,,,,,,,,,,133,0.0,0.0,167.70400000000004,0.0,0.0,0.0,,,,,,,,,,,406.0
0 - 407,,,,,,,,,,36,0.0,0.0,51.83400000000054,0.0,0.0,0.0,,,,,,,,,,,407.0
0 - 408,,,,,,,,,,19,0.0,0.0,75.46400000000028,0.0,0.0,0.0,,,,,,,,,,,408.0
0 - 412,,,,,,,,,,341,17.232000000000546,906.5599999999998,172.66800000000117,0.018653549716819956,0.09074249605055498,0.030945719283249795,,,,,,,,,,,412.0
0 - 413,,,,,,,,,,72,0.0,0.0,100.13600000000181,0.0,0.0,0.0,,,,,,,,,,,413.0
