time_start,time_end,eID
15.3,88.632,412
112.099,128.299,412
135.265,136.465,412
146.332,160.898,412
162.565,176.065,412
195.731,206.431,412
225.564,256.197,412
275.564,288.597,412
296.564,297.564,412
309.897,338.83,412
373.796,379.163,412
398.329,400.663,412
400.796,411.763,412
419.429,421.196,412
433.029,463.995,412
483.195,496.628,412
504.295,506.895,412
515.795,550.094,412
568.428,582.828,412
590.394,591.427,412
601.994,636.527,412
655.793,669.093,412
676.16,677.393,412
687.26,720.626,412
739.559,761.226,412
780.026,815.692,412
835.658,850.658,412
858.525,860.125,412
870.158,901.724,412
920.091,931.657,412
947.691,977.09,412
995.023,1006.757,412
1025.856,1055.089,412
1073.889,1085.356,412
1103.789,1133.522,412
1152.188,1164.455,412
1172.655,1173.455,412
1183.721,1215.221,412
1234.588,1252.954,412
1260.187,1261.587,412
1273.254,1307.22,412
1324.853,1336.553,412
1343.42,1345.187,412
1354.553,1384.853,412
1403.119,1419.686,412
1437.686,1467.519,412
1486.485,1498.852,412
1506.218,1506.718,412
1518.551,1549.351,412
1568.851,1581.351,412
1588.851,1591.284,412
1601.051,1631.984,412
1641.65,1642.017,412
1652.517,1666.617,412
