time_start,time_end,eID
1365.12,1369.62,412
1386.62,1387.12,412
1390.62,1392.62,412
1397.62,1403.62,412
1408.12,1415.62,412
1431.62,1432.62,412
1434.62,1435.12,412
1441.62,1442.12,412
1450.12,1452.12,412
1454.62,1458.12,412
1460.62,1461.12,412
1463.12,1464.12,412
1468.12,1468.62,412
1471.12,1473.12,412
1480.12,1480.62,412
1486.12,1486.62,412
1493.12,1504.12,412
1508.12,1509.12,412
1511.12,1511.62,412
1520.12,1523.62,412
1532.62,1533.12,412
1540.62,1541.12,412
1551.62,1552.12,412
1561.12,1564.62,412
1568.12,1570.12,412
1598.12,1599.12,412
1601.12,1603.62,412
1614.62,1618.12,412
1634.62,1635.12,412
1638.12,1638.62,412
1644.12,1646.62,412
1651.12,1651.62,412
1656.62,1657.12,412
