time_start,time_end,eID
53.733,54.366,412
56.733,57.266,412
62.533,63.466,412
67.033,67.699,412
71.099,71.599,412
73.333,73.899,412
75.699,76.166,412
77.966,78.466,412
81.033,81.466,412
83.632,84.266,412
90.999,91.499,412
97.732,98.199,412
104.232,104.566,412
108.132,108.466,412
113.132,113.599,412
114.632,114.966,412
131.799,132.399,412
140.132,140.599,412
145.899,146.265,412
148.299,148.799,412
151.598,152.498,412
155.032,155.398,412
158.498,158.798,412
160.698,161.098,412
162.732,163.065,412
164.832,165.098,412
167.432,167.765,412
170.032,170.465,412
178.032,178.498,412
181.832,182.298,412
188.298,188.698,412
191.731,192.698,412
196.798,197.198,412
198.365,198.798,412
209.531,209.965,412
217.631,218.064,412
226.131,226.464,412
228.531,228.898,412
232.231,232.898,412
236.231,236.764,412
240.131,240.398,412
242.031,242.598,412
244.431,244.998,412
246.531,246.864,412
249.231,249.564,412
251.631,252.197,412
258.297,258.664,412
261.831,262.164,412
268.031,268.531,412
271.631,271.964,412
276.931,277.464,412
278.431,278.897,412
292.93,293.564,412
303.73,304.164,412
310.23,310.597,412
312.93,313.397,412
316.73,317.597,412
320.83,321.163,412
324.13,324.563,412
326.33,326.697,412
328.497,329.097,412
330.53,330.997,412
333.23,333.497,412
334.93,335.463,412
381.03,381.463,412
384.396,384.896,412
390.829,391.196,412
394.629,395.096,412
399.029,399.496,412
400.529,400.896,412
415.796,416.363,412
426.729,427.429,412
432.929,433.462,412
435.896,436.296,412
439.796,440.596,412
443.429,443.862,412
447.529,448.062,412
449.729,450.062,412
451.895,452.262,412
454.195,454.495,412
456.429,457.062,412
458.862,459.395,412
465.629,466.095,412
468.962,469.462,412
475.295,476.095,412
478.995,479.529,412
483.528,483.795,412
485.495,485.895,412
500.928,501.395,412
511.428,512.095,412
518.095,518.495,412
520.761,521.161,412
524.628,525.495,412
527.961,528.495,412
531.528,531.995,412
533.695,534.261,412
536.628,537.061,412
538.895,539.461,412
541.695,541.995,412
544.328,544.761,412
551.494,551.894,412
554.628,555.094,412
560.794,561.194,412
564.328,564.994,412
569.428,570.094,412
570.728,571.294,412
586.827,587.361,412
597.294,597.994,412
603.494,603.994,412
606.227,606.594,412
610.827,611.294,412
614.394,614.894,412
618.327,618.794,412
620.427,621.06,412
623.527,623.894,412
625.56,626.06,412
628.227,628.994,412
630.927,631.36,412
638.327,639.394,412
641.627,642.094,412
647.66,648.394,412
651.86,652.293,412
656.793,657.193,412
657.927,658.593,412
672.627,673.593,412
682.227,683.027,412
689.293,689.793,412
692.126,692.66,412
696.626,697.393,412
700.026,700.593,412
703.426,703.893,412
705.226,705.893,412
707.626,708.26,412
709.826,710.293,412
712.526,713.193,412
715.326,716.193,412
722.259,722.993,412
725.659,725.993,412
731.459,731.993,412
735.626,735.993,412
741.226,741.693,412
742.726,743.159,412
765.726,766.292,412
775.259,776.059,412
781.926,782.492,412
784.792,785.325,412
789.225,789.792,412
792.692,792.992,412
796.492,796.892,412
798.925,799.392,412
801.625,801.992,412
804.225,804.692,412
807.125,807.892,412
810.125,810.792,412
817.425,817.992,412
821.225,821.692,412
827.425,827.858,412
831.658,832.292,412
837.392,837.892,412
838.925,839.392,412
855.125,855.691,412
864.925,865.591,412
871.925,872.291,412
872.425,872.958,412
874.525,874.958,412
878.825,879.591,412
881.825,882.391,412
884.991,885.491,412
887.424,888.091,412
889.824,890.291,412
891.824,892.391,412
894.724,895.191,412
896.924,897.491,412
903.424,903.991,412
906.791,907.391,412
912.524,912.991,412
916.224,916.857,412
921.224,921.691,412
922.924,923.391,412
934.924,935.591,412
942.224,942.891,412
947.724,948.091,412
950.124,950.49,412
953.924,954.49,412
957.224,957.69,412
959.924,960.49,412
962.324,962.69,412
964.924,965.39,412
967.124,967.79,412
970.224,970.79,412
972.624,973.29,412
978.724,979.124,412
981.724,982.29,412
987.49,988.09,412
991.023,991.457,412
996.09,996.59,412
997.423,997.857,412
1010.523,1011.09,412
1019.723,1020.39,412
1025.623,1025.99,412
1028.223,1028.69,412
1031.923,1032.556,412
1035.023,1035.39,412
1037.923,1038.29,412
1040.423,1040.69,412
1042.823,1043.09,412
1044.923,1045.556,412
1047.823,1048.29,412
1049.923,1050.789,412
1056.989,1057.389,412
1060.223,1060.789,412
1066.523,1067.256,412
1070.023,1070.489,412
1075.223,1075.589,412
1076.523,1076.989,412
1088.722,1089.422,412
1097.722,1098.389,412
1103.922,1104.289,412
1106.422,1106.989,412
1109.922,1110.389,412
1112.922,1113.489,412
1116.022,1116.522,412
1117.922,1118.889,412
1120.822,1121.489,412
1123.089,1123.789,412
1125.922,1126.689,412
1128.822,1129.589,412
1135.289,1135.689,412
1138.522,1139.089,412
1144.622,1145.389,412
1148.222,1148.689,412
1153.288,1153.688,412
1154.822,1155.288,412
1168.888,1169.522,412
