time_s,sig_64
0.0,-1420.3115881631293
0.033,-1189.129503030122
0.067,-1387.4878391502602
0.1,-1357.208625093759
0.133,-1438.2583176799294
0.167,-890.9180896450298
0.2,-1009.2755605772336
0.233,-1268.627865655013
0.267,-1675.08653223355
0.3,-1759.4085515734523
0.333,-1618.9701563449626
0.367,-1349.098553726109
0.4,-1473.7421576949928
0.433,-1247.0336595735637
0.467,-1216.3133678000804
0.5,-1293.2713941020115
0.533,-1243.9782494190356
0.567,-988.8080629498378
0.6,-984.4532708608762
0.633,-1192.7405074294588
0.667,-1119.196663198382
0.7,-1033.4350759399235
0.733,-1069.1805259336254
0.767,-903.7903393838524
0.8,-1286.5097520678614
0.833,-1225.285807049599
0.867,-1047.1301960256128
0.9,-1280.2242516709312
0.933,-1510.5028159886929
0.967,-1286.3563651271315
1.0,-1041.9301453484966
1.033,-818.5893793911699
1.067,-959.465775772362
1.1,-955.3133097475948
1.133,-901.7006842820692
1.167,-1195.8008438706445
1.2,-1162.4091256972647
1.233,-1100.9528020732446
1.267,-965.0721326571198
1.3,-1055.172677151406
1.333,-852.1158610471863
1.367,-837.9340171372019
1.4,-583.8594749587602
1.433,-491.3053588415808
1.467,-508.5107138782066
1.5,-753.3447607164082
1.533,-995.83334045238
1.567,-712.5559554565706
1.6,-555.1797785619563
1.633,-638.8477323359059
1.667,-734.1773222456045
1.7,-703.2251692614625
1.733,-925.4796960657616
1.767,-993.6528832766646
1.8,-853.5586968984361
1.833,-709.1051398997429
1.867,-773.922525797049
1.9,-518.2698516570599
1.933,-358.53828690621884
1.967,-538.3428511002048
2.0,-785.9143318274243
2.033,-682.0655840658521
2.067,-740.8590735023114
2.1,-847.9655099722963
2.133,-790.9105296350713
2.167,-651.9768955172214
2.2,-521.9917871901605
2.233,-532.6786994668513
2.267,-934.6608831863608
2.3,-765.8997917348056
2.333,-858.3000643070882
2.367,-801.766673215227
2.4,-795.7733339189898
2.433,-418.7782907070492
2.467,-93.85412190266078
2.5,-245.58793711744983
2.533,-539.7440295318063
2.567,-766.970884797396
2.6,-702.6300895702159
2.633,-764.8400493565427
2.667,-933.6966338082956
2.7,-983.1412948303524
2.733,-859.2084826980469
2.767,-837.0427512189027
2.8,-899.4641118014556
2.833,-934.3076013744136
2.867,-930.7832385020862
2.9,-865.7767608890744
2.933,-799.1311611679965
2.967,-1062.257762772546
3.0,-1012.759168677573
3.033,-1024.8092917180436
3.067,-1166.1029961752763
3.1,-1185.6766475012168
3.133,-943.7049134323104
3.167,-783.9303946416688
3.2,-778.8209560467956
3.233,-940.8935829858284
3.267,-1161.6372669138514
3.3,-1281.306634886711
3.333,-1222.417194823341
3.367,-1164.489503893957
3.4,-1236.7756937988188
3.433,-1057.1983109378857
3.467,-964.2763049264908
3.5,-1401.7428946829132
3.533,-1353.081313331454
3.567,-1155.4285519231416
3.6,-1095.552312530866
3.633,-990.348232116292
3.667,-1030.765398758283
3.7,-1044.9203227335008
3.733,-1043.6400433877488
3.767,-1006.4370109300528
3.8,-1096.2541159179364
3.833,-908.2742161366358
3.867,-667.2181850083575
3.9,-788.6883323295801
3.933,-1016.6074595975612
3.967,-1231.5720091823466
4.0,-1127.5762287573743
4.033,-988.8752382394584
4.067,-911.2961717505444
4.1,-831.9906337778732
4.133,-935.6117828172712
4.167,-1269.4752804770335
4.2,-1318.567546177887
4.233,-983.2378925530106
4.267,-914.0756327219586
4.3,-858.3343038231868
4.333,-716.5742809070205
4.367,-877.2544487415696
4.4,-860.1791563766735
4.433,-770.7919999453075
4.467,-936.25017699074
4.5,-880.291952722312
4.533,-653.116523943595
4.567,-736.1985484682057
4.6,-1046.5776163369503
4.633,-1002.0009481373522
