time_start,time_end,eID
1355.12,1355.62,412
1358.12,1362.12,412
1368.62,1375.12,412
1377.62,1380.12,412
1389.62,1390.12,412
1394.62,1395.62,412
1398.12,1398.62,412
1407.12,1407.62,412
1423.12,1423.62,412
1437.62,1438.12,412
1440.12,1441.62,412
1444.62,1445.12,412
1451.62,1453.12,412
1457.12,1462.12,412
1468.12,1468.62,412
1472.12,1472.62,412
1477.12,1478.62,412
1481.62,1482.62,412
1496.62,1498.12,412
1505.62,1506.12,412
1512.62,1513.12,412
1520.62,1521.62,412
1524.12,1528.62,412
1531.12,1533.62,412
1540.62,1543.62,412
1549.62,1551.62,412
1554.12,1555.12,412
1559.62,1565.12,412
1578.62,1579.12,412
1585.12,1585.62,412
1589.62,1590.62,412
1604.62,1605.12,412
1617.62,1622.12,412
1624.12,1625.62,412
1632.12,1634.62,412
1636.62,1638.12,412
1642.62,1646.12,412
1648.62,1649.12,412
1654.12,1657.12,412
1662.62,1663.62,412
