time_s,sig_64
0.0,-905
0.033,-882
0.067,-883
0.1,-904
0.133,-954
0.167,-984
0.2,-1011
0.233,-1041
0.267,-1032
0.3,-1013
0.333,-1010
0.367,-992
0.4,-949
0.433,-949
0.467,-963
0.5,-958
0.533,-958
0.567,-977
0.6,-1039
0.633,-969
0.667,-885
0.7,-858
0.733,-837
0.767,-831
0.8,-837
0.833,-791
0.867,-658
0.9,-590
0.933,-646
0.967,-699
1.0,-753
1.033,-786
1.067,-756
1.1,-744
1.133,-783
1.167,-889
1.2,-918
1.233,-924
1.267,-905
1.3,-856
1.333,-974
1.367,-991
1.4,-859
1.433,-772
1.467,-546
1.5,-312
1.533,-269
1.567,-355
1.6,-450
1.633,-531
1.667,-489
1.7,-350
1.733,-56
1.767,291
1.8,546
1.833,717
1.867,936
1.9,1026
1.933,1077
1.967,1109
2.0,1199
2.033,1067
2.067,995
2.1,926
2.133,946
2.167,1024
2.2,1064
2.233,1021
2.267,1002
2.3,919
2.333,659
2.367,27
2.4,96
2.433,664
2.467,1867
2.5,547
2.533,869
2.567,683
2.6,643
2.633,784
2.667,818
2.7,807
2.733,764
2.767,757
2.8,746
2.833,765
2.867,791
2.9,768
2.933,769
2.967,777
3.0,784
3.033,741
3.067,735
3.1,731
3.133,700
3.167,629
3.2,526
3.233,448
3.267,423
3.3,425
3.333,468
3.367,496
3.4,524
3.433,529
3.467,533
3.5,508
3.533,529
3.567,511
3.6,510
3.633,561
3.667,681
3.7,904
3.733,1104
3.767,1049
3.8,1052
3.833,977
3.867,892
3.9,874
3.933,807
3.967,764
4.0,795
4.033,909
4.067,886
4.1,788
4.133,747
4.167,693
4.2,376
4.233,-120
4.267,-887
4.3,-1767
4.333,1889
4.367,335
4.4,727
4.433,780
4.467,624
4.5,765
4.533,750
4.567,693
4.6,649
4.633,675
4.667,674
4.7,665
4.733,638
4.767,637
4.8,676
4.833,688
4.867,641
4.9,640
4.933,596
4.967,556
5.0,502
5.033,477
5.067,473
5.1,445
5.133,389
5.167,384
5.2,365
5.233,327
5.267,310
5.3,268
5.333,240
5.367,224
5.4,236
5.433,286
5.467,390
5.5,425
5.533,466
5.567,504
5.6,595
5.633,671
5.667,769
5.7,786
5.733,653
5.767,591
5.8,613
5.833,649
5.867,676
5.9,706
5.933,661
5.967,569
6.0,577
6.033,439
6.067,268
6.1,-43
6.133,-530
6.167,-649
6.2,1706
6.233,865
6.267,1053
6.3,798
6.333,953
6.367,865
6.4,832
6.433,836
6.467,848
6.5,861
6.533,848
6.567,868
6.6,873
6.633,852
6.667,854
6.7,869
6.733,845
6.767,811
6.8,794
6.833,798
6.867,717
6.9,518
6.933,382
6.967,382
7.0,323
7.033,299
7.067,318
7.1,290
7.133,203
7.167,166
7.2,37
7.233,47
7.267,229
7.3,269
7.333,368
7.367,597
7.4,903
7.433,1038
7.467,965
7.5,868
7.533,720
7.567,648
7.6,570
7.633,533
7.667,583
7.7,607
7.733,618
7.767,539
7.8,467
7.833,448
7.867,122
7.9,-229
7.933,-677
7.967,-1757
8.0,1564
8.033,937
8.067,1261
8.1,905
8.133,701
8.167,718
8.2,778
8.233,817
8.267,831
8.3,845
8.333,816
8.367,803
8.4,789
8.433,761
8.467,763
8.5,774
8.533,789
8.567,826
8.6,835
8.633,817
8.667,760
8.7,640
8.733,548
8.767,422
8.8,303
8.833,237
8.867,265
8.9,324
8.933,367
8.967,356
9.0,325
9.033,253
9.067,201
9.1,165
9.133,144
9.167,113
9.2,189
9.233,407
9.267,600
9.3,763
9.333,859
9.367,868
9.4,770
9.433,664
9.467,612
9.5,574
9.533,573
9.567,652
9.6,632
9.633,597
9.667,622
9.7,276
9.733,-51
9.767,-367
9.8,-567
9.833,654
9.867,1476
9.9,1278
9.933,1090
9.967,790
10.0,783
10.033,822
10.067,843
10.1,860
10.133,852
10.167,857
10.2,876
10.233,849
10.267,836
10.3,822
10.333,843
10.367,848
10.4,850
10.433,840
10.467,831
10.5,821
10.533,831
10.567,836
10.6,824
10.633,809
10.667,728
10.7,690
10.733,660
10.767,633
10.8,604
10.833,524
10.867,480
10.9,468
