time_s,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_11,sig_12,sig_13,sig_17,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_51,sig_52,sig_53,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_68,sig_70,sig_71,sig_72,sig_73,sig_74,sig_75,sig_76,sig_119,sig_120,sig_121,sig_125,sig_126,sig_127,sig_131,sig_134
0.0,40.0,1031.0,49.0,-255.0,958.0,250.0,42.0,965.0,322.0,108,-367,300.0,924.0,151.0,-186.0,915.0,77.0,-395.0,1018.0,136.0,-985,38,180,352,-81,-706,79,-627,25,775,-905,350,302,504,331,298,-700,304,598,112,-733,87,-22,17,-273,358,-817,34,168
0.033,49.0,1043.0,42.0,-244.0,954.0,257.0,62.0,964.0,282.0,111,-373,290.0,905.0,163.0,-111.0,917.0,65.0,-375.0,1011.0,82.0,-951,-5,163,353,-59,-709,65,-629,10,775,-882,336,294,546,341,313,-683,319,599,126,-724,87,-22,17,-274,358,-821,80,168
0.067,17.0,1049.0,84.0,-243.0,958.0,278.0,71.0,970.0,283.0,76,-350,262.0,919.0,188.0,-143.0,1004.0,3.0,-370.0,995.0,72.0,-932,-39,146,355,-30,-711,49,-630,-6,775,-883,304,297,482,356,331,-660,338,597,141,-714,87,-22,17,-271,364,-821,55,168
0.1,23.0,1051.0,98.0,-234.0,969.0,295.0,60.0,973.0,291.0,68,-380,266.0,929.0,160.0,-152.0,1088.0,22.0,-386.0,1004.0,87.0,-940,-55,147,351,-2,-713,30,-631,-22,775,-904,299,284,414,366,353,-635,357,593,158,-704,87,-22,17,-267,358,-814,18,168
0.133,-3.0,1045.0,102.0,-213.0,975.0,273.0,71.0,980.0,287.0,59,-367,260.0,918.0,190.0,-173.0,997.0,55.0,-376.0,1037.0,94.0,-970,-112,163,350,30,-714,11,-631,-38,774,-954,277,270,306,383,377,-604,379,587,175,-694,87,-22,17,-270,354,-810,50,168
0.167,-9.0,1042.0,93.0,-196.0,974.0,256.0,88.0,983.0,301.0,42,-346,275.0,930.0,200.0,-208.0,1000.0,88.0,-358.0,1047.0,120.0,-983,-148,184,347,57,-715,-8,-630,-53,775,-984,211,257,149,393,394,-572,400,580,189,-684,87,-22,17,-263,359,-821,16,168
0.2,19.0,1034.0,111.0,-212.0,953.0,230.0,98.0,996.0,320.0,38,-350,284.0,927.0,188.0,-195.0,1035.0,94.0,-354.0,1057.0,161.0,-996,-178,195,347,82,-713,-26,-629,-66,774,-1011,206,240,29,400,402,-548,419,574,197,-675,87,-22,17,-266,355,-818,-16,168
0.233,5.0,1041.0,87.0,-223.0,980.0,219.0,113.0,1003.0,348.0,77,-318,282.0,927.0,192.0,-234.0,1074.0,43.0,-313.0,1094.0,195.0,-1008,-217,199,346,104,-712,-41,-627,-76,774,-1041,202,224,-85,408,407,-524,436,569,201,-668,87,-22,17,-265,357,-817,-3,168
0.267,71.0,1064.0,71.0,-210.0,985.0,198.0,141.0,1018.0,335.0,116,-315,307.0,932.0,159.0,-225.0,1055.0,-42.0,-321.0,1102.0,199.0,-974,-270,197,345,121,-708,-52,-626,-83,773,-1032,191,210,-264,418,406,-506,450,565,199,-662,87,-22,17,-269,350,-815,-28,168
0.3,44.0,1056.0,12.0,-188.0,977.0,191.0,181.0,984.0,331.0,153,-315,338.0,905.0,139.0,-182.0,993.0,-59.0,-292.0,1029.0,147.0,-962,-267,194,347,127,-706,-58,-626,-85,773,-1013,186,199,-410,425,393,-495,462,562,190,-659,87,-22,17,-257,352,-820,-39,168
0.333,66.0,1057.0,15.0,-228.0,988.0,191.0,177.0,934.0,305.0,173,-292,323.0,903.0,136.0,-136.0,931.0,-70.0,-292.0,1010.0,98.0,-979,-225,181,345,129,-707,-61,-626,-84,773,-1010,217,189,-511,432,378,-493,471,562,176,-657,87,-22,17,-262,357,-825,1,168
0.367,25.0,1032.0,5.0,-251.0,969.0,194.0,147.0,942.0,290.0,180,-297,312.0,931.0,124.0,-168.0,931.0,-88.0,-292.0,1009.0,85.0,-995,-151,171,348,128,-705,-63,-627,-81,773,-992,233,181,-446,436,363,-494,477,563,161,-655,87,-22,17,-259,353,-820,37,168
0.4,-15.0,1045.0,6.0,-288.0,956.0,181.0,136.0,951.0,261.0,201,-319,312.0,908.0,124.0,-239.0,926.0,30.0,-304.0,1010.0,41.0,-985,-131,183,348,124,-707,-65,-628,-78,772,-949,249,184,-402,441,345,-494,483,565,148,-653,87,-22,17,-234,369,-831,21,168
0.433,8.0,1037.0,32.0,-332.0,956.0,211.0,115.0,1010.0,229.0,221,-310,316.0,910.0,152.0,-264.0,913.0,78.0,-333.0,1025.0,17.0,-992,-129,188,350,121,-705,-66,-629,-75,771,-949,241,204,-282,448,335,-494,489,564,140,-650,87,-22,17,-353,323,-793,-47,168
0.467,3.0,1027.0,53.0,-363.0,956.0,202.0,82.0,1028.0,209.0,260,-321,295.0,933.0,131.0,-255.0,925.0,29.0,-390.0,1044.0,4.0,-1001,-152,186,352,112,-708,-65,-630,-71,771,-963,221,218,-280,450,326,-493,493,562,135,-649,87,-22,17,-347,322,-773,-48,168
0.5,-11.0,1050.0,79.0,-298.0,986.0,180.0,38.0,1051.0,209.0,270,-305,298.0,915.0,187.0,-290.0,986.0,15.0,-394.0,1070.0,-40.0,-1006,-150,207,352,105,-707,-60,-630,-67,771,-958,197,251,-263,451,322,-491,495,560,133,-650,87,-22,17,-247,389,-822,5,168
0.533,-1.0,1031.0,79.0,-240.0,994.0,141.0,49.0,1092.0,181.0,264,-293,318.0,933.0,191.0,-306.0,970.0,98.0,-424.0,1070.0,-75.0,-1012,-151,223,350,101,-708,-54,-630,-62,773,-958,195,280,-198,453,323,-490,494,559,130,-653,87,-22,17,-313,365,-832,-34,168
0.567,-57.0,1059.0,21.0,-315.0,982.0,168.0,33.0,1093.0,159.0,235,-297,348.0,907.0,159.0,-325.0,999.0,94.0,-442.0,1030.0,-77.0,-1037,-157,251,351,88,-711,-43,-629,-54,774,-977,207,309,-290,450,321,-495,490,558,127,-657,87,-22,17,-290,350,-808,-35,168
0.6,13.0,1042.0,-81.0,-311.0,989.0,182.0,32.0,1041.0,159.0,230,-309,369.0,921.0,131.0,-300.0,967.0,91.0,-431.0,1019.0,-134.0,-1067,-167,265,349,71,-714,-30,-627,-44,777,-1039,246,362,-349,443,317,-503,484,556,124,-664,87,-22,17,-259,382,-812,32,168
