time_s,eID
85.699,eID_1
85.732,eID_1
85.766,eID_1
85.799,eID_1
85.832,eID_1
85.866,eID_1
85.899,eID_1
85.932,eID_1
85.966,eID_1
85.999,eID_1
86.032,eID_1
86.066,eID_1
86.099,eID_1
86.132,eID_1
86.166,eID_1
86.199,eID_1
86.232,eID_1
86.266,eID_1
86.299,eID_1
86.332,eID_1
86.366,eID_1
86.399,eID_1
86.432,eID_1
86.466,eID_1
86.499,eID_1
86.532,eID_1
86.566,eID_1
86.599,eID_1
86.632,eID_1
86.666,eID_1
86.699,eID_1
86.732,eID_1
86.766,eID_1
86.799,eID_1
86.832,eID_1
86.866,eID_1
86.899,eID_1
86.932,eID_1
86.966,eID_1
86.999,eID_1
87.032,eID_1
87.066,eID_1
87.099,eID_1
87.132,eID_1
87.166,eID_1
87.199,eID_1
87.232,eID_1
87.266,eID_1
87.299,eID_1
87.332,eID_1
87.366,eID_1
87.399,eID_1
87.432,eID_1
87.466,eID_1
87.499,eID_1
87.532,eID_1
87.566,eID_1
87.599,eID_1
87.632,eID_1
87.666,eID_1
87.699,eID_1
87.732,eID_1
87.766,eID_1
87.799,eID_1
87.832,eID_1
87.866,eID_1
87.899,eID_1
87.932,eID_1
87.966,eID_1
87.999,eID_1
88.032,eID_1
88.066,eID_1
88.099,eID_1
88.132,eID_1
88.166,eID_1
88.199,eID_1
88.232,eID_1
88.266,eID_1
88.299,eID_1
88.332,eID_1
88.366,eID_1
88.399,eID_1
88.432,eID_1
88.466,eID_1
88.499,eID_1
88.532,eID_1
88.566,eID_1
88.599,eID_1
88.632,eID_1
88.666,eID_1
88.699,eID_1
88.732,eID_1
88.766,eID_1
88.799,eID_1
88.832,eID_1
88.866,eID_1
88.899,eID_1
88.932,eID_1
88.966,eID_1
88.999,eID_1
89.032,eID_1
89.066,eID_1
89.099,eID_1
89.132,eID_1
89.166,eID_1
89.199,eID_1
185.665,eID_1
185.698,eID_1
185.731,eID_1
185.765,eID_1
185.798,eID_1
185.831,eID_1
185.865,eID_1
185.898,eID_1
185.931,eID_1
185.965,eID_1
185.998,eID_1
186.031,eID_1
186.065,eID_1
186.098,eID_1
186.131,eID_1
186.165,eID_1
186.198,eID_1
186.231,eID_1
186.265,eID_1
186.298,eID_1
186.331,eID_1
186.365,eID_1
186.398,eID_1
186.431,eID_1
186.465,eID_1
186.498,eID_1
186.531,eID_1
186.565,eID_1
186.598,eID_1
186.631,eID_1
186.665,eID_1
186.698,eID_1
186.731,eID_1
186.765,eID_1
186.798,eID_1
186.831,eID_1
186.865,eID_1
186.898,eID_1
186.931,eID_1
186.965,eID_1
186.998,eID_1
187.031,eID_1
187.065,eID_1
187.098,eID_1
187.131,eID_1
187.165,eID_1
187.198,eID_1
187.231,eID_1
187.265,eID_1
187.298,eID_1
187.331,eID_1
187.365,eID_1
187.398,eID_1
187.431,eID_1
187.465,eID_1
187.498,eID_1
187.531,eID_1
187.565,eID_1
187.598,eID_1
187.631,eID_1
187.665,eID_1
187.698,eID_1
187.731,eID_1
187.765,eID_1
187.798,eID_1
187.831,eID_1
187.865,eID_1
187.898,eID_1
187.931,eID_1
187.965,eID_1
187.998,eID_1
188.031,eID_1
188.065,eID_1
188.098,eID_1
188.131,eID_1
188.165,eID_1
188.198,eID_1
188.231,eID_1
188.265,eID_1
188.298,eID_1
188.331,eID_1
188.365,eID_1
188.398,eID_1
188.431,eID_1
188.465,eID_1
188.498,eID_1
188.531,eID_1
188.565,eID_1
188.598,eID_1
188.631,eID_1
188.665,eID_1
188.698,eID_1
188.731,eID_1
188.765,eID_1
188.798,eID_1
188.831,eID_1
188.865,eID_1
188.898,eID_1
188.931,eID_1
188.965,eID_1
188.998,eID_1
189.031,eID_1
189.065,eID_1
189.098,eID_1
189.131,eID_1
189.165,eID_1
189.198,eID_1
189.231,eID_1
189.265,eID_1
189.298,eID_1
189.331,eID_1
189.365,eID_1
189.398,eID_1
189.431,eID_1
189.465,eID_1
189.498,eID_1
189.531,eID_1
189.565,eID_1
189.598,eID_1
189.631,eID_1
189.665,eID_1
189.698,eID_1
189.731,eID_1
189.765,eID_1
189.798,eID_1
189.831,eID_1
189.865,eID_1
