time_start,time_end,eID
1.5,28.0,412
30.5,36.0,412
39.0,62.0,412
64.0,84.5,412
86.5,96.5,412
98.5,101.0,412
103.5,113.0,412
119.0,130.5,412
137.5,143.5,412
147.5,156.0,412
160.5,169.5,412
171.5,185.0,412
188.5,213.5,412
216.5,218.5,412
221.0,236.5,412
238.5,253.0,412
256.5,343.5,412
348.5,361.5,412
364.5,371.5,412
374.0,391.0,412
397.5,404.5,412
409.5,428.5,412
435.0,457.0,412
459.0,468.0,412
471.0,475.0,412
477.0,504.5,412
510.0,534.5,412
536.5,569.0,412
573.0,592.0,412
597.5,616.0,412
618.5,637.0,412
641.0,643.0,412
645.0,655.5,412
657.5,682.5,412
685.5,693.0,412
696.0,702.0,412
704.0,716.5,412
720.5,735.0,412
739.0,740.5,412
745.0,845.5,412
849.0,850.5,412
852.5,858.5,412
862.0,908.0,412
910.0,921.5,412
923.5,930.5,412
938.5,942.5,412
948.5,954.5,412
957.5,961.5,412
963.5,968.0,412
970.0,975.0,412
977.5,984.0,412
986.0,988.5,412
990.5,1027.5,412
1031.0,1047.5,412
1052.5,1069.5,412
1072.0,1087.0,412
1091.0,1095.0,412
1100.5,1184.5,412
1188.0,1230.5,412
1232.5,1262.5,412
1266.5,1270.0,412
1272.0,1278.0,412
1281.0,1354.5,412
1359.0,1360.5,412
1363.0,1369.0,412
1378.0,1383.0,412
1385.5,1394.0,412
1396.0,1420.5,412
1423.0,1436.5,412
1442.5,1456.5,412
1458.5,1479.5,412
1482.0,1482.5,412
1491.0,1544.0,412
1547.0,1557.5,412
1561.0,1578.0,412
1580.0,1593.5,412
1595.5,1616.0,412
1618.0,1619.5,412
1623.5,1641.0,412
1643.5,1653.0,412
1655.0,1660.5,412
1664.5,1666.5,412
