time_start,time_end,eID
5.0,75.25,eID_2
79.3,102.5,eID_5
129.35,131.75,eID_1
171.2,172.75,eID_5
182.85,183.75,eID_1
196.6,199.95,eID_5
214.45,215.4,eID_1
217.0,217.9,eID_2
243.65,246.9,eID_5
252.0,253.3,eID_2
254.35,254.4,eID_5
267.1,271.65,eID_1
278.05,284.75,eID_2
287.2,290.15,eID_3
294.6,297.25,eID_1
334.85,336.35,eID_3
352.15,352.55,eID_2
354.55,356.1,eID_3
375.25,389.4,eID_5
397.95,403.35,eID_2
407.75,407.9,eID_1
417.2,447.0,eID_2
466.15,470.35,eID_5
472.3,478.6,eID_2
484.9,486.5,eID_1
493.45,496.4,eID_5
505.85,549.45,eID_2
552.15,556.3,eID_1
557.3,557.3,eID_1
563.55,575.25,eID_5
578.95,582.1,eID_1
611.25,613.9,eID_5
625.55,629.9,eID_2
648.8,652.25,eID_5
677.4,679.3,eID_2
690.25,693.6,eID_1
708.2,709.55,eID_5
730.55,732.3,eID_1
797.7,821.95,eID_2
847.15,909.8,eID_1
912.9,913.4,eID_5
932.55,933.6,eID_2
937.3,937.75,eID_3
945.15,991.4,eID_1
994.35,995.75,eID_2
998.05,998.05,eID_2
999.05,999.1,eID_2
1001.3,1001.35,eID_1
1002.35,1002.35,eID_1
1035.6,1037.95,eID_5
1058.45,1154.3,eID_2
1198.95,1199.05,eID_2
1203.75,1205.6,eID_5
1208.4,1213.05,eID_2
1227.8,1228.4,eID_1
1240.1,1241.45,eID_2
1255.65,1257.75,eID_5
1274.45,1275.8,eID_3
1278.25,1322.9,eID_1
1327.55,1329.1,eID_2
1346.5,1351.3,eID_1
1372.7,1377.65,eID_2
1404.85,1408.7,eID_5
1411.55,1413.65,eID_3
1441.05,1443.1,eID_5
1445.9,1451.1,eID_2
1459.0,1460.4,eID_1
1470.9,1471.1,eID_2
1478.2,1478.2,eID_1
1493.8,1497.3,eID_5
1498.3,1498.3,eID_2
1504.45,1547.2,eID_1
1563.2,1576.1,eID_2
1592.25,1593.8,eID_5
1596.95,1601.7,eID_2
1619.2,1621.0,eID_5
1627.1,1642.75,eID_1
1651.3,1658.55,eID_3
1793.35,1820.95,eID_1
1835.5,1836.85,eID_2
1838.75,1839.3,eID_5
1879.7,1928.75,eID_2
1933.1,1936.85,eID_3
1997.85,1998.35,eID_2
2001.45,2006.55,eID_5
2013.85,2014.95,eID_1
2015.95,2015.95,eID_2
2016.95,2018.45,eID_2
2059.8,2060.8,eID_3
2079.75,2087.7,eID_5
2095.8,2096.0,eID_2
2097.75,2101.75,eID_5
2105.0,2124.5,eID_2
2159.9,2165.7,eID_5
2173.2,2173.85,eID_1
2184.7,2185.3,eID_1
2226.85,2255.1,eID_1
2259.5,2259.95,eID_5
2269.85,2273.1,eID_1
2279.2,2282.55,eID_5
2302.8,2370.5,eID_2
2375.85,2393.0,eID_5
2403.9,2405.75,eID_3
2433.1,2434.65,eID_5
2464.5,2464.55,eID_3
2496.45,2496.45,eID_2
2499.4,2500.55,eID_3
2505.0,2514.9,eID_2
2523.6,2526.65,eID_1
2543.05,2544.2,eID_5
2568.45,2569.6,eID_1
2582.5,2583.5,eID_2
2594.9,2595.95,eID_5
2626.0,2629.9,eID_1
2638.0,2640.45,eID_2
2671.3,2676.6,eID_5
2686.7,2688.3,eID_2
2696.75,2700.85,eID_5
2708.25,2709.05,eID_2
2717.35,2717.85,eID_5
