fold,n_events,n_classes,imbalance_ratio,majority_class,minority_class,time_start,time_end,duration_covered_s,total_event_duration_s,n_occurrences,tp_s,fp_s,fn_s,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,plot_file,start_diff_mean,start_diff_min_abs,start_diff_max_abs,end_diff_mean,end_diff_min_abs,end_diff_max_abs,eID
0,916.0,9.0,18.2,412.0,408.0,51.533,1358.686,1307.153,785.4140000000007,916,1.3659999999999854,163.13400000000001,1.0320000000001528,0.008303951367781066,0.5696413678064665,0.0163692794401369,0.007175688509021795,0.18132350359837687,0.013805056314990707,events_evaluation_plot.png,-0.10000000000002274,0.0,0.20000000000004547,-0.016000000000076398,0.4339999999999691,0.4660000000001219,
0 - 401,,,,,,,,,,26,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,401.0
0 - 403,,,,,,,,,,30,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,403.0
0 - 404,,,,,,,,,,106,0.7999999999999545,21.700000000000045,0.4660000000001219,0.035555555555553536,0.631911532385392,0.06732306656567802,,,,,,,,,,,404.0
0 - 405,,,,,,,,,,270,0.0,62.5,0.5660000000000309,0.0,0.0,0.0,,,,,,,,,,,405.0
0 - 406,,,,,,,,,,106,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,,,,406.0
0 - 407,,,,,,,,,,30,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,407.0
0 - 408,,,,,,,,,,15,0.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,408.0
0 - 412,,,,,,,,,,273,0.5660000000000309,18.93399999999997,0.0,0.02902564102564261,1.0,0.056413834346659024,,,,,,,,,,,412.0
0 - 413,,,,,,,,,,60,0.0,12.0,0.0,0.0,0.0,0.0,,,,,,,,,,,413.0
