time_start,time_end,eID
0.5,28.0,412
30.0,62.0,412
64.0,84.5,412
86.5,113.0,412
119.0,130.5,412
137.5,143.0,412
147.0,156.0,412
160.5,169.0,412
171.0,185.0,412
188.0,213.5,412
216.5,253.5,412
257.0,343.5,412
349.0,362.0,412
364.0,371.5,412
373.5,392.0,412
397.5,405.0,412
409.5,422.0,412
424.0,429.5,412
435.0,468.0,412
471.0,475.0,412
477.5,504.5,412
510.0,570.0,412
573.0,593.0,412
597.0,616.0,412
618.5,637.5,412
641.0,683.0,412
686.0,693.0,412
698.5,702.0,412
704.0,716.5,412
719.5,735.5,412
739.0,741.5,412
744.5,761.0,412
763.0,858.5,412
862.0,908.0,412
910.0,931.0,412
938.5,942.5,412
948.5,954.5,412
957.5,961.5,412
964.0,975.5,412
977.5,984.0,412
986.5,1047.5,412
1052.5,1069.5,412
1072.0,1088.0,412
1091.0,1095.0,412
1099.5,1184.5,412
1188.0,1189.0,412
1191.5,1262.5,412
1266.5,1269.5,412
1272.0,1278.0,412
1281.0,1354.5,412
1359.0,1360.5,412
1363.5,1368.5,412
