time_start,time_end,eID
51.533,52.066,405
52.133,53.666,406
53.733,54.366,412
54.533,55.099,405
55.133,56.666,404
56.733,57.266,412
60.333,60.966,405
60.999,62.499,406
62.533,63.466,412
63.933,65.466,405
65.533,66.999,404
67.033,67.699,412
69.133,69.566,405
69.599,71.066,406
71.099,71.599,412
71.733,71.999,405
72.033,73.299,404
73.333,73.899,412
73.933,74.366,405
74.399,75.666,406
75.699,76.166,412
76.299,76.666,405
76.699,77.899,404
77.966,78.466,412
78.499,79.066,405
79.099,80.999,406
81.033,81.466,412
81.599,82.099,405
82.133,83.566,404
83.632,84.266,412
87.832,88.266,405
88.299,90.066,404
90.299,90.699,403
90.999,91.499,412
93.932,94.599,405
94.732,95.199,401
95.532,97.699,406
97.732,98.199,412
101.032,101.499,405
101.632,103.066,404
103.266,103.966,403
104.232,104.566,412
105.032,105.699,405
105.866,106.232,401
106.332,107.866,406
108.132,108.466,412
112.532,112.966,405
113.132,113.599,412
113.899,114.499,405
114.632,114.966,412
118.465,121.065,408
126.399,127.699,405
127.899,129.399,413
129.432,129.999,407
130.032,131.499,413
131.799,132.399,412
135.832,136.665,405
136.965,137.999,413
138.032,138.599,407
138.632,139.865,413
140.132,140.599,412
143.832,144.465,405
144.632,145.865,406
145.899,146.265,412
146.599,147.999,404
148.299,148.799,412
149.632,150.365,405
150.432,151.565,406
151.598,152.498,412
152.832,153.598,405
153.832,154.865,404
155.032,155.398,412
156.432,156.865,405
157.098,158.465,406
158.498,158.798,412
159.132,159.498,405
159.532,160.598,404
160.698,161.098,412
161.132,161.298,405
161.432,162.498,406
162.732,163.065,412
163.332,163.698,405
163.732,164.698,404
164.832,165.098,412
165.132,165.465,405
165.732,167.165,406
167.432,167.765,412
167.932,168.265,405
168.298,169.798,404
170.032,170.465,412
175.032,175.398,405
175.432,177.265,404
177.432,177.898,403
178.032,178.498,412
179.032,179.598,405
179.798,180.032,401
180.132,181.798,406
181.832,182.298,412
184.998,185.665,405
185.731,187.598,404
187.831,188.198,403
188.298,188.698,412
189.031,189.465,405
189.531,189.831,401
190.098,191.698,406
191.731,192.698,412
196.131,196.565,405
196.798,197.198,412
197.731,197.998,405
198.365,198.798,412
201.398,203.865,408
204.931,205.765,405
205.831,207.165,413
207.198,207.865,407
207.898,209.265,413
209.531,209.965,412
213.231,214.065,405
214.231,215.398,413
215.431,216.231,407
216.265,217.398,413
217.631,218.064,412
224.031,224.564,405
224.831,226.098,406
226.131,226.464,412
226.498,226.864,405
226.931,228.198,404
228.531,228.898,412
229.931,230.498,405
230.831,231.998,406
232.231,232.898,412
233.298,234.598,405
234.631,236.098,404
236.231,236.764,412
237.931,238.498,405
238.631,239.998,406
240.131,240.398,412
240.498,240.864,405
240.931,241.964,404
242.031,242.598,412
242.831,243.198,405
243.431,244.398,406
244.431,244.998,412
