time_s,emotion,face_x,face_y,face_w,face_h
0.0,angry,182,267,28,28
0.038,sad,183,267,28,28
0.07200000000000001,fear,0,0,359,639
0.109,sad,184,269,28,28
0.156,sad,183,268,28,28
0.192,sad,0,0,359,639
0.23900000000000002,sad,180,264,28,28
0.275,sad,177,262,27,27
0.321,sad,176,262,27,27
0.3450000000000001,angry,175,262,28,28
0.392,angry,174,261,28,28
0.439,angry,0,0,359,639
0.47600000000000003,angry,178,263,28,28
0.519,sad,179,264,27,27
0.546,sad,179,263,28,28
0.595,angry,178,263,28,28
0.635,sad,177,264,28,28
0.664,sad,176,264,28,28
0.7000000000000001,sad,176,265,28,28
0.756,sad,176,266,29,29
0.787,sad,177,268,28,28
0.845,sad,177,270,28,28
0.875,neutral,176,270,28,28
0.899,sad,173,269,31,31
0.9490000000000001,sad,173,270,29,29
0.995,sad,174,271,29,29
1.035,sad,0,0,359,639
1.06,angry,0,0,359,639
1.114,sad,0,0,359,639
1.155,sad,173,275,28,28
1.185,sad,0,0,359,639
1.223,sad,174,280,27,27
1.2730000000000001,sad,174,281,28,28
1.304,sad,0,0,359,639
1.354,sad,0,0,359,639
1.393,sad,0,0,359,639
1.422,sad,0,0,359,639
1.47,sad,0,0,359,639
1.514,sad,0,0,359,639
1.542,neutral,0,0,359,639
1.587,sad,0,0,359,639
1.635,sad,174,294,28,28
1.672,sad,0,0,359,639
1.716,neutral,174,296,28,28
1.756,neutral,174,297,28,28
1.784,neutral,174,297,28,28
1.833,sad,174,298,28,28
1.875,sad,174,299,27,27
1.9120000000000001,sad,175,299,27,27
1.959,sad,0,0,359,639
1.989,neutral,0,0,359,639
2.04,sad,0,0,359,639
2.071,neutral,172,301,28,28
2.109,neutral,173,302,28,28
2.152,sad,173,302,26,26
2.202,neutral,0,0,359,639
2.237,sad,0,0,359,639
2.274,happy,172,301,27,27
2.305,sad,0,0,359,639
2.342,neutral,0,0,359,639
2.3930000000000002,sad,171,299,28,28
2.423,sad,0,0,359,639
2.471,neutral,173,300,27,27
2.508,sad,172,300,27,27
2.549,sad,172,299,27,27
2.597,neutral,0,0,359,639
2.636,sad,172,298,27,27
2.669,neutral,173,297,27,27
2.71,happy,173,297,27,27
2.743,sad,171,296,28,28
2.799,neutral,172,295,27,27
2.841,sad,0,0,359,639
2.868,sad,0,0,359,639
2.915,sad,169,295,28,28
2.96,sad,169,295,27,27
2.996,happy,170,296,27,27
3.0300000000000002,fear,0,0,359,639
3.078,fear,0,0,359,639
3.105,sad,0,0,359,639
3.148,neutral,0,0,359,639
3.189,neutral,0,0,359,639
3.232,happy,168,295,27,27
3.278,happy,168,294,27,27
3.318,sad,168,294,28,28
3.36,happy,167,295,28,28
3.386,sad,167,295,27,27
3.423,sad,168,294,28,28
3.477,sad,0,0,359,639
3.504,sad,0,0,359,639
3.552,neutral,0,0,359,639
3.596,sad,0,0,359,639
3.634,neutral,170,297,27,27
3.672,fear,0,0,359,639
3.717,neutral,166,294,27,27
3.757,happy,168,295,27,27
3.793,neutral,168,294,27,27
3.822,neutral,167,293,28,28
3.873,neutral,0,0,359,639
3.9050000000000002,angry,0,0,359,639
3.9530000000000003,sad,167,293,28,28
3.984,happy,0,0,359,639
4.015,happy,0,0,359,639
4.082,sad,0,0,359,639
4.116,sad,169,291,28,28
4.154,neutral,169,293,28,28
4.1930000000000005,happy,169,292,28,28
4.23,angry,0,0,359,639
4.268,sad,168,291,28,28
4.315,happy,170,292,26,26
4.346,happy,0,0,359,639
4.388,sad,0,0,359,639
4.438,neutral,169,290,28,28
4.477,sad,171,290,26,26
4.518,neutral,170,289,28,28
4.547,happy,169,289,27,27
4.5840000000000005,neutral,0,0,359,639
4.633,happy,171,287,27,27
4.678,neutral,171,287,27,27
4.708,neutral,171,287,28,28
4.742,happy,170,287,28,28
4.797,happy,170,288,28,28
4.8260000000000005,happy,0,0,359,639
4.864,neutral,170,287,27,27
4.907,happy,171,288,27,27
4.947,neutral,171,287,28,28
4.986,happy,171,288,28,28
5.035,happy,170,288,28,28
5.066,happy,170,287,28,28
5.109,happy,171,288,28,28
5.156,happy,170,287,28,28
5.1930000000000005,happy,170,286,28,28
5.224,happy,171,286,28,28
5.261,happy,170,286,28,28
5.315,happy,170,287,27,27
5.352,happy,170,286,28,28
5.394,happy,170,286,28,28
5.438,happy,0,0,359,639
5.465,happy,170,286,28,28
5.504,happy,170,286,29,29
5.546,neutral,171,287,28,28
5.59,neutral,171,287,27,27
5.629,neutral,171,287,27,27
5.666,neutral,171,288,27,27
5.7,neutral,0,0,359,639
5.758,neutral,0,0,359,639
5.795,neutral,0,0,359,639
5.839,neutral,0,0,359,639
5.863,happy,170,290,27,27
5.923,sad,0,0,359,639
5.96,sad,0,0,359,639
5.985,neutral,0,0,359,639
6.029,sad,0,0,359,639
6.079,happy,170,288,27,27
6.113,sad,0,0,359,639
6.149,sad,0,0,359,639
6.186,sad,0,0,359,639
6.229,neutral,0,0,359,639
6.277,sad,0,0,359,639
6.314,sad,0,0,359,639
6.356,sad,0,0,359,639
6.391,sad,0,0,359,639
6.425,sad,0,0,359,639
6.478,sad,0,0,359,639
6.518,sad,0,0,359,639
6.547,sad,0,0,359,639
6.589,angry,0,0,359,639
6.631,angry,0,0,359,639
6.663,angry,0,0,359,639
6.71,sad,0,0,359,639
6.751,sad,0,0,359,639
6.779,neutral,0,0,359,639
6.817,sad,0,0,359,639
6.868,sad,0,0,359,639
6.9,sad,0,0,359,639
6.938,sad,0,0,359,639
6.979,sad,0,0,359,639
7.025,neutral,0,0,359,639
7.071,sad,0,0,359,639
7.098,sad,0,0,359,639
7.138,sad,0,0,359,639
7.186,sad,0,0,359,639
7.243,sad,0,0,359,639
7.263,sad,0,0,359,639
7.3100000000000005,sad,0,0,359,639
7.363,sad,0,0,359,639
7.4110000000000005,sad,0,0,359,639
7.436,sad,0,0,359,639
7.465,fear,171,290,26,26
7.512,sad,0,0,359,639
7.55,sad,0,0,359,639
7.587,happy,171,290,26,26
7.6240000000000006,happy,0,0,359,639
7.664000000000001,sad,0,0,359,639
7.715,sad,0,0,359,639
7.755,happy,171,290,27,27
7.788,happy,170,288,28,28
7.835,sad,0,0,359,639
7.875,neutral,170,288,28,28
7.913,neutral,0,0,359,639
7.941,sad,0,0,359,639
7.974,happy,170,290,27,27
8.031,sad,0,0,359,639
8.072000000000001,neutral,0,0,359,639
8.118,sad,0,0,359,639
8.15,sad,0,0,359,639
8.179,sad,0,0,359,639
8.233,sad,0,0,359,639
8.264,sad,0,0,359,639
8.304,sad,0,0,359,639
8.347,sad,0,0,359,639
8.387,sad,0,0,359,639
8.437,sad,0,0,359,639
8.466,sad,0,0,359,639
8.517,sad,0,0,359,639
8.552,sad,0,0,359,639
8.598,sad,0,0,359,639
8.635,sad,0,0,359,639
8.675,sad,0,0,359,639
8.722,sad,0,0,359,639
8.76,sad,0,0,359,639
8.783,sad,0,0,359,639
8.832,sad,0,0,359,639
8.865,sad,0,0,359,639
8.921,sad,0,0,359,639
8.958,sad,0,0,359,639
8.994,fear,0,0,359,639
9.033,sad,0,0,359,639
9.082,sad,0,0,359,639
9.115,sad,0,0,359,639
9.146,sad,0,0,359,639
9.197000000000001,sad,0,0,359,639
9.227,sad,0,0,359,639
9.267,sad,0,0,359,639
9.307,sad,0,0,359,639
9.343,sad,0,0,359,639
9.39,fear,0,0,359,639
9.444,angry,173,290,28,28
9.463000000000001,sad,0,0,359,639
9.498,sad,0,0,359,639
9.553,sad,0,0,359,639
9.581,angry,0,0,359,639
9.622,sad,0,0,359,639
9.66,sad,0,0,359,639
9.702,sad,0,0,359,639
9.74,sad,0,0,359,639
9.779,angry,174,290,28,28
9.822000000000001,angry,174,290,29,29
9.865,neutral,174,290,28,28
9.908,neutral,0,0,359,639
9.957,sad,174,291,27,27
9.983,sad,0,0,359,639
10.03,angry,0,0,359,639
10.068,sad,0,0,359,639
10.114,happy,174,292,27,27
10.144,neutral,172,292,27,27
10.192,sad,172,292,28,28
10.226,angry,172,292,29,29
10.266,happy,172,293,27,27
10.3,sad,0,0,359,639
10.349,happy,170,294,27,27
10.38,sad,0,0,359,639
10.429,sad,0,0,359,639
10.467,sad,0,0,359,639
10.511000000000001,sad,0,0,359,639
10.546,sad,0,0,359,639
10.591000000000001,angry,172,294,27,27
10.63,sad,0,0,359,639
10.673,sad,0,0,359,639
10.71,sad,0,0,359,639
10.746,sad,0,0,359,639
10.787,happy,172,294,27,27
10.839,sad,0,0,359,639
10.873000000000001,happy,172,293,27,27
10.91,sad,0,0,359,639
10.949,happy,172,292,28,28
10.992,happy,171,291,29,29
11.027000000000001,sad,0,0,359,639
11.053,happy,0,0,359,639
11.103,happy,172,289,29,29
11.144,happy,0,0,359,639
11.187,happy,173,290,29,29
11.217,happy,174,290,29,29
11.266,happy,176,291,28,28
11.306000000000001,happy,177,291,29,29
11.337,happy,0,0,359,639
11.377,happy,175,289,29,29
11.428,sad,0,0,359,639
11.462,happy,178,292,28,28
11.501,happy,178,292,28,28
11.540000000000003,happy,177,291,28,28
11.599,happy,178,291,28,28
11.64,happy,177,291,28,28
11.689,happy,176,291,29,29
11.702,happy,0,0,359,639
11.75,happy,176,291,28,28
11.791,happy,176,291,28,28
11.835,happy,0,0,359,639
11.868,happy,176,291,27,27
11.906,happy,175,291,28,28
11.948,happy,176,292,27,27
11.994,happy,174,290,29,29
12.027000000000001,happy,174,289,28,28
12.067,fear,174,289,29,29
12.109,happy,173,290,28,28
12.156,happy,173,290,28,28
12.185,neutral,0,0,359,639
12.228,happy,172,290,28,28
12.281,happy,171,290,28,28
12.306000000000001,sad,170,291,28,28
12.356,sad,0,0,359,639
12.392,sad,0,0,359,639
12.433,neutral,0,0,359,639
12.476,neutral,167,290,28,28
12.506,sad,0,0,359,639
12.553,sad,0,0,359,639
12.593,sad,0,0,359,639
12.629,sad,0,0,359,639
12.668000000000001,sad,0,0,359,639
12.711,sad,0,0,359,639
12.761000000000001,sad,0,0,359,639
12.786,sad,0,0,359,639
12.836,sad,0,0,359,639
12.859,sad,0,0,359,639
12.915000000000003,sad,0,0,359,639
12.961,sad,0,0,359,639
13.0,sad,0,0,359,639
13.032,sad,0,0,359,639
13.083,sad,0,0,359,639
13.112,sad,0,0,359,639
13.143,sad,0,0,359,639
13.185,sad,0,0,359,639
13.237,sad,0,0,359,639
13.266,sad,0,0,359,639
13.313,sad,0,0,359,639
13.348,sad,0,0,359,639
13.388,sad,0,0,359,639
13.426,sad,0,0,359,639
13.463000000000001,sad,0,0,359,639
13.516,sad,0,0,359,639
13.557,sad,0,0,359,639
13.583,sad,0,0,359,639
13.636000000000001,sad,0,0,359,639
13.672,sad,0,0,359,639
13.701,sad,0,0,359,639
13.75,sad,0,0,359,639
13.782,sad,0,0,359,639
13.833,sad,0,0,359,639
13.868,sad,0,0,359,639
13.917,angry,0,0,359,639
13.943,fear,0,0,359,639
13.993,fear,0,0,359,639
14.033,sad,0,0,359,639
14.073,sad,0,0,359,639
14.104000000000001,sad,0,0,359,639
14.153,sad,0,0,359,639
14.193,sad,0,0,359,639
14.219,sad,0,0,359,639
14.275,sad,0,0,359,639
14.302,sad,0,0,359,639
14.341000000000001,sad,0,0,359,639
14.38,sad,0,0,359,639
14.424,sad,0,0,359,639
14.465,fear,171,298,27,27
14.505,sad,0,0,359,639
14.534,sad,0,0,359,639
14.592,sad,0,0,359,639
14.631,sad,0,0,359,639
14.66,sad,0,0,359,639
14.702,sad,0,0,359,639
14.744,sad,0,0,359,639
14.8,sad,0,0,359,639
14.839,sad,0,0,359,639
14.863,sad,0,0,359,639
14.915000000000003,sad,0,0,359,639
14.952,sad,0,0,359,639
14.999,sad,0,0,359,639
15.034,sad,0,0,359,639
15.078000000000001,sad,0,0,359,639
15.106,sad,0,0,359,639
15.147,sad,0,0,359,639
15.191,sad,0,0,359,639
15.231,sad,0,0,359,639
15.27,sad,0,0,359,639
15.314,sad,0,0,359,639
15.35,sad,0,0,359,639
15.397,sad,0,0,359,639
15.433,neutral,0,0,359,639
15.474,neutral,0,0,359,639
15.503,neutral,0,0,359,639
15.542,neutral,0,0,359,639
15.607000000000001,neutral,0,0,359,639
15.63,neutral,0,0,359,639
15.668000000000001,neutral,0,0,359,639
15.731,neutral,0,0,359,639
15.758,neutral,0,0,359,639
15.787,neutral,0,0,359,639
15.837,neutral,0,0,359,639
15.869,neutral,0,0,359,639
15.904,neutral,0,0,359,639
15.962,neutral,0,0,359,639
15.993,neutral,0,0,359,639
16.026,neutral,0,0,359,639
16.068,fear,0,0,359,639
16.11,fear,0,0,359,639
16.153,fear,0,0,359,639
16.199,fear,0,0,359,639
16.22,fear,0,0,359,639
16.273,fear,0,0,359,639
16.305,neutral,0,0,359,639
16.336000000000002,fear,0,0,359,639
16.377,neutral,0,0,359,639
16.429000000000002,neutral,0,0,359,639
16.468,neutral,0,0,359,639
16.501,neutral,0,0,359,639
16.538,sad,0,0,359,639
16.588,sad,0,0,359,639
16.618000000000002,neutral,0,0,359,639
16.668,neutral,0,0,359,639
16.698,fear,0,0,359,639
16.738,fear,0,0,359,639
16.788,fear,0,0,359,639
16.824,fear,0,0,359,639
16.865000000000002,fear,0,0,359,639
16.902,fear,0,0,359,639
16.959,sad,0,0,359,639
16.990000000000002,fear,0,0,359,639
17.019000000000002,fear,0,0,359,639
17.061,fear,0,0,359,639
17.114,sad,0,0,359,639
17.154,fear,0,0,359,639
17.191,fear,0,0,359,639
17.226,fear,0,0,359,639
17.279,fear,0,0,359,639
17.316,fear,0,0,359,639
17.356,fear,0,0,359,639
17.382,fear,0,0,359,639
17.431,fear,0,0,359,639
17.477,fear,0,0,359,639
17.513,fear,0,0,359,639
17.539,fear,0,0,359,639
17.591,fear,0,0,359,639
17.635,sad,0,0,359,639
17.667,sad,0,0,359,639
17.702,sad,0,0,359,639
17.75,sad,0,0,359,639
17.8,sad,0,0,359,639
17.826,sad,0,0,359,639
17.868000000000002,sad,0,0,359,639
17.924,sad,0,0,359,639
17.952,sad,0,0,359,639
17.993000000000002,sad,0,0,359,639
18.03,sad,0,0,359,639
18.077,sad,0,0,359,639
18.118000000000002,sad,0,0,359,639
18.147000000000002,sad,0,0,359,639
18.186,sad,0,0,359,639
18.229,sad,0,0,359,639
18.277,sad,0,0,359,639
18.306,sad,0,0,359,639
18.352,sad,0,0,359,639
18.383,sad,0,0,359,639
18.437,sad,0,0,359,639
18.47,sad,0,0,359,639
18.507,sad,0,0,359,639
18.552,sad,0,0,359,639
18.592,sad,0,0,359,639
18.628,sad,0,0,359,639
18.663,sad,0,0,359,639
18.701,fear,0,0,359,639
18.754,fear,0,0,359,639
18.788,sad,0,0,359,639
18.825,sad,0,0,359,639
18.86,sad,0,0,359,639
18.911,fear,0,0,359,639
18.94,fear,0,0,359,639
18.979,fear,0,0,359,639
19.021,fear,0,0,359,639
19.06,fear,0,0,359,639
19.101,fear,0,0,359,639
19.156,sad,0,0,359,639
19.207,sad,0,0,359,639
19.229,fear,0,0,359,639
19.271,fear,0,0,359,639
19.299,fear,0,0,359,639
19.349,fear,0,0,359,639
19.384,fear,0,0,359,639
19.429000000000002,fear,0,0,359,639
19.457,fear,0,0,359,639
19.502,fear,0,0,359,639
19.539,fear,0,0,359,639
19.582,fear,0,0,359,639
19.622,fear,0,0,359,639
19.661,fear,0,0,359,639
19.703,fear,0,0,359,639
19.740000000000002,fear,0,0,359,639
19.782,fear,0,0,359,639
19.821,fear,0,0,359,639
19.86,fear,0,0,359,639
19.904,fear,0,0,359,639
19.955000000000005,fear,0,0,359,639
19.997,fear,0,0,359,639
20.035,fear,0,0,359,639
20.066,fear,0,0,359,639
20.113,fear,0,0,359,639
20.158,fear,0,0,359,639
20.186,fear,0,0,359,639
20.233,fear,0,0,359,639
20.28,fear,0,0,359,639
20.305,fear,0,0,359,639
20.353,fear,0,0,359,639
20.389,fear,0,0,359,639
20.433,fear,0,0,359,639
20.478,fear,0,0,359,639
20.517,fear,0,0,359,639
20.543,fear,0,0,359,639
20.595,sad,0,0,359,639
20.648,fear,0,0,359,639
20.665,sad,0,0,359,639
20.709,fear,0,0,359,639
20.757,sad,0,0,359,639
20.795,sad,0,0,359,639
20.839000000000002,fear,0,0,359,639
20.873,fear,0,0,359,639
20.911,fear,0,0,359,639
20.954,fear,0,0,359,639
20.984,fear,0,0,359,639
21.027,fear,0,0,359,639
21.065,fear,0,0,359,639
21.098,fear,0,0,359,639
21.135,fear,0,0,359,639
21.175,fear,0,0,359,639
21.221,fear,0,0,359,639
21.252,fear,0,0,359,639
21.29,fear,0,0,359,639
21.330000000000005,fear,0,0,359,639
21.377,fear,0,0,359,639
21.42,fear,0,0,359,639
21.452,fear,0,0,359,639
21.497,fear,0,0,359,639
21.533,fear,0,0,359,639
21.567,fear,0,0,359,639
21.604,fear,0,0,359,639
21.637,fear,0,0,359,639
21.675,fear,0,0,359,639
21.724,fear,0,0,359,639
21.743000000000002,fear,0,0,359,639
21.785,fear,0,0,359,639
21.829,fear,0,0,359,639
21.866,fear,0,0,359,639
21.912,fear,0,0,359,639
21.947,fear,0,0,359,639
21.992,fear,0,0,359,639
22.022000000000002,fear,0,0,359,639
22.061,fear,0,0,359,639
22.103,fear,0,0,359,639
22.143,fear,0,0,359,639
22.177,fear,0,0,359,639
22.22,fear,0,0,359,639
22.258,fear,0,0,359,639
22.295,fear,0,0,359,639
22.344,fear,0,0,359,639
22.369,fear,0,0,359,639
22.409,fear,0,0,359,639
22.452,fear,0,0,359,639
22.493000000000002,fear,0,0,359,639
22.525000000000002,fear,0,0,359,639
22.564,sad,0,0,359,639
22.596,fear,0,0,359,639
22.634,fear,0,0,359,639
22.676000000000002,fear,0,0,359,639
22.717,fear,0,0,359,639
22.746000000000002,fear,0,0,359,639
22.797,sad,0,0,359,639
22.828,fear,0,0,359,639
22.881,fear,0,0,359,639
22.909,sad,0,0,359,639
22.95,sad,0,0,359,639
22.98,fear,0,0,359,639
23.025000000000002,fear,0,0,359,639
23.066,fear,0,0,359,639
23.095,fear,0,0,359,639
23.150000000000002,fear,0,0,359,639
23.173,fear,0,0,359,639
23.21,fear,0,0,359,639
23.26,fear,0,0,359,639
23.295,fear,0,0,359,639
23.335,fear,0,0,359,639
23.383,fear,0,0,359,639
23.417,fear,0,0,359,639
23.45,fear,0,0,359,639
23.494,fear,0,0,359,639
23.518,fear,0,0,359,639
23.566,fear,0,0,359,639
23.594,fear,0,0,359,639
23.639,fear,0,0,359,639
23.684,fear,0,0,359,639
23.713,fear,0,0,359,639
23.762,fear,0,0,359,639
23.8,fear,0,0,359,639
23.828,fear,0,0,359,639
23.876,fear,0,0,359,639
23.917,fear,0,0,359,639
23.948,fear,0,0,359,639
23.990000000000002,fear,0,0,359,639
24.022000000000002,fear,0,0,359,639
24.056,fear,0,0,359,639
24.096,fear,0,0,359,639
24.14,fear,0,0,359,639
24.172,sad,0,0,359,639
24.208000000000002,fear,0,0,359,639
24.259,fear,0,0,359,639
24.295,sad,0,0,359,639
24.329,sad,0,0,359,639
24.374,fear,0,0,359,639
24.417,fear,0,0,359,639
24.468,fear,0,0,359,639
24.476,fear,0,0,359,639
